name,mfr,type,calories,protein,fat,vitamins,weight
100% Bran,N,C,70,4,1,25,1
100% Natural Bran,Q,C,120,3,5,0,1
All-Bran,K,C,70,4,1,25,1
All-Bran with Extra Fiber,K,C,50,4,0,25,1
Almond Delight,R,C,110,2,2,25,1
Apple Cinnamon Cheerios,G,C,110,2,2,25,1
Apple Jacks,K,C,110,2,0,25,1
Basic 4,G,C,130,3,2,25,1.33
Bran Chex,R,C,90,2,1,25,1
Bran Flakes,P,C,90,3,0,25,1
Cap'n'Crunch,Q,C,120,1,2,25,1
Cheerios,G,C,110,6,2,25,1
Cinnamon Toast Crunch,G,C,120,1,3,25,1
Clusters,G,C,110,3,2,25,1
Cocoa Puffs,G,C,110,1,1,25,1
Corn Chex,R,C,110,2,0,25,1
Corn Flakes,K,C,100,2,0,25,1
Corn Pops,K,C,110,1,0,25,1
Count Chocula,G,C,110,1,1,25,1
Cracklin' Oat Bran,K,C,110,3,3,25,1
Cream of Wheat (Quick),N,H,100,3,0,0,1
Crispix,K,C,110,2,0,25,1
Crispy Wheat & Raisins,G,C,100,2,1,25,1
Double Chex,R,C,100,2,0,25,1
Froot Loops,K,C,110,2,1,25,1
Frosted Flakes,K,C,110,1,0,25,1
Frosted Mini-Wheats,K,C,100,3,0,25,1
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,25,1.25
Fruitful Bran,K,C,120,3,0,25,1.33
Fruity Pebbles,P,C,110,1,1,25,1
Golden Crisp,P,C,100,2,0,25,1
Golden Grahams,G,C,110,1,1,25,1
Grape Nuts Flakes,P,C,100,3,1,25,1
Grape-Nuts,P,C,110,3,0,25,1
Great Grains Pecan,P,C,120,3,3,25,1
Honey Graham Ohs,Q,C,120,1,2,25,1
Honey Nut Cheerios,G,C,110,3,1,25,1
Honey-comb,P,C,110,1,0,25,1
Just Right Crunchy  Nuggets,K,C,110,2,1,100,1
Just Right Fruit & Nut,K,C,140,3,1,100,1.3
Kix,G,C,110,2,1,25,1
Life,Q,C,100,4,2,25,1
Lucky Charms,G,C,110,2,1,25,1
Maypo,A,H,100,4,1,25,1
Muesli Raisins; Dates; & Almonds,R,C,150,4,3,25,1
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,25,1
Mueslix Crispy Blend,K,C,160,3,2,25,1.5
Multi-Grain Cheerios,G,C,100,2,1,25,1
Nut&Honey Crunch,K,C,120,2,1,25,1
Nutri-Grain Almond-Raisin,K,C,140,3,2,25,1.33
